"Package"	"LibPath"	"Version"	"Priority"	"Depends"	"Imports"	"LinkingTo"	"Suggests"	"Enhances"	"License"	"License_is_FOSS"	"License_restricts_use"	"OS_type"	"MD5sum"	"NeedsCompilation"	"Built"	"Published"	"Repository"	"RemoteUrl"	"RemoteSha"	"biocViews"
"farver"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"2.1.2"					"covr, testthat (>= 3.0.0)"		"MIT + file LICENSE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:02 UTC; windows"		"CRAN"			
"fastDummies"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.7.6"		"R (>= 2.10)"	"data.table, tibble, stringr"		"testthat (>= 2.1.0), knitr, rmarkdown, covr, spelling, dplyr"		"MIT + file LICENSE"					"no"	"R 4.6.1; ; 2026-09-09 03:06:26 UTC; windows"		"CRAN"			
"fastmap"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.2.0"					"testthat (>= 2.1.1)"		"MIT + file LICENSE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:02 UTC; windows"		"CRAN"			
"fitdistrplus"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.2-6"		"R (>= 3.5.0), MASS, grDevices, survival, methods"	"stats, rlang"		"actuar, rgenoud, mc2d, gamlss.dist, knitr, ggplot2,
GeneralizedHyperbolic, rmarkdown, Hmisc, bookdown"		"GPL (>= 2)"					"no"	"R 4.6.1; ; 2026-09-09 02:21:25 UTC; windows"		"CRAN"			
"fontawesome"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.5.3"		"R (>= 3.3.0)"	"rlang (>= 1.0.6), htmltools (>= 0.5.1.1)"		"covr, dplyr (>= 1.0.8), gt (>= 0.9.0), knitr (>= 1.31),
testthat (>= 3.0.0), rsvg"		"MIT + file LICENSE"					"no"	"R 4.6.1; ; 2026-09-09 02:20:49 UTC; windows"		"CRAN"			
"foreach"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.5.2"		"R (>= 2.5.0)"	"codetools, utils, iterators"		"randomForest, doMC, doParallel, testthat, knitr, rmarkdown"		"Apache License (== 2.0)"					"no"	"R 4.6.1; ; 2026-09-09 01:55:55 UTC; windows"		"CRAN"			
"forecast"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary"	"9.0.2"		"R (>= 4.1.0)"	"colorspace, fracdiff, generics (>= 0.1.2), ggplot2 (>= 3.4.0),
graphics, lmtest, magrittr, nnet, parallel, Rcpp (>= 0.12.4),
stats, timeDate, urca, withr, zoo"	"Rcpp (>= 0.12.4), RcppArmadillo (>= 0.2.35)"	"forecTheta, knitr, methods, rmarkdown, rticles, scales,
seasonal, testthat (>= 3.3.0), uroot"		"GPL-3"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 03:03:40 UTC; windows"		"CRAN"			
"foreign"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library"	"0.8-91"	"recommended"	"R (>= 4.0.0)"	"methods, utils, stats"				"GPL (>= 2)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:32:28 UTC; windows"		"CRAN"			
"formatR"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.14"		"R (>= 3.2.3)"			"rstudioapi, shiny, testit, rmarkdown, knitr"		"GPL"					"no"	"R 4.6.1; ; 2026-09-09 01:00:28 UTC; windows"		"CRAN"			
"fracdiff"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary"	"1.5-4"			"stats"		"longmemo, forecast, urca"		"GPL (>= 2)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:02 UTC; windows"		"CRAN"			
"fs"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"2.1.0"		"R (>= 4.1)"	"methods"		"covr, crayon, knitr, pillar (>= 1.0.0), rmarkdown, spelling,
testthat (>= 3.0.0), tibble (>= 1.1.0), vctrs (>= 0.3.0), withr"		"MIT + file LICENSE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:04 UTC; windows"		"CRAN"			
"futile.logger"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.4.9"		"R (>= 3.0.0)"	"utils, lambda.r (>= 1.1.0), futile.options"		"testit, jsonlite, httr, crayon, rsyslog, glue"		"LGPL-3"					"no"	"R 4.6.1; ; 2026-09-09 02:24:27 UTC; windows"		"CRAN"			
"futile.options"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.0.1"		"R (>= 2.8.0)"					"LGPL-3"					"no"	"R 4.6.1; ; 2026-08-19 11:54:24 UTC; windows"		"CRAN"			
"future"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.75.0"		"R (>= 3.2.0)"	"digest, globals (>= 0.18.0), listenv (>= 0.8.0), parallel,
parallelly (>= 1.44.0), tools, utils"		"methods, RhpcBLASctl, R.rsp, markdown"		"Apache License (>= 2)"					"no"	"R 4.6.1; ; 2026-09-09 01:55:59 UTC; windows"		"CRAN"			
"future.apply"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.20.2"		"R (>= 3.2.0), future (>= 1.49.0)"	"globals, parallel, utils"		"datasets, stats, tools, listenv, R.rsp, markdown"		"GPL (>= 2)"					"no"	"R 4.6.1; ; 2026-09-09 02:21:02 UTC; windows"		"CRAN"			
"generics"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.1.4"		"R (>= 3.6)"	"methods"		"covr, pkgload, testthat (>= 3.0.0), tibble, withr"		"MIT + file LICENSE"					"no"	"R 4.6.1; ; 2026-09-09 00:54:01 UTC; windows"		"CRAN"			
"ggalluvial"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary"	"0.12.6"		"R (>= 3.6), ggplot2 (>= 2.2)"	"stats, dplyr (>= 0.7), tidyr (>= 0.7), lazyeval, rlang,
tidyselect"		"grid, alluvial, testthat, knitr, rmarkdown, babynames,
sessioninfo, ggrepel, shiny (>= 1.4.0.2), htmltools, sp (>=
1.4-0), ggfittext (>= 0.6), vdiffr (>= 0.2)"		"GPL-3"					"no"	"R 4.6.1; ; 2026-09-09 03:43:01 UTC; windows"		"CRAN"			
"ggbeeswarm"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.7.3"		"R (>= 3.5.0), ggplot2 (>= 3.3.0)"	"beeswarm, lifecycle, vipor, cli"		"gridExtra"		"GPL (>= 3)"					"no"	"R 4.6.1; ; 2026-09-09 02:42:30 UTC; windows"		"CRAN"			
"ggdendro"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.2.0"		"R(>= 3.5)"	"MASS, ggplot2(>= 0.9.2)"		"rpart (>= 4.0-0), tree, testthat, knitr, cluster, scales,
spelling, rmarkdown, covr"		"GPL-2 | GPL-3"					"no"	"R 4.6.1; ; 2026-09-09 02:41:16 UTC; windows"		"CRAN"			
"ggnetwork"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary"	"0.5.14"		"R (>= 3.5), ggplot2 (>= 2.0.0)"	"ggrepel (>= 0.5), network, igraph, sna, utils"		"knitr, rmarkdown, testthat"		"GPL-3"					"no"	"R 4.6.1; ; 2026-09-09 03:22:46 UTC; windows"		"CRAN"			
"ggplot2"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"4.0.3"		"R (>= 4.1)"	"cli, grDevices, grid, gtable (>= 0.3.6), isoband, lifecycle (>
1.0.1), rlang (>= 1.1.0), S7, scales (>= 1.4.0), stats, vctrs
(>= 0.6.0), withr (>= 2.5.0)"		"broom, covr, dplyr, ggplot2movies, hexbin, Hmisc, hms, knitr,
mapproj, maps, MASS, mgcv, multcomp, munsell, nlme, profvis,
quantreg, quarto, ragg (>= 1.2.6), RColorBrewer, roxygen2,
rpart, sf (>= 0.7-3), svglite (>= 2.1.2), testthat (>= 3.1.5),
tibble, vdiffr (>= 1.0.6), xml2"	"sp"	"MIT + file LICENSE"					"no"	"R 4.6.1; ; 2026-09-09 02:40:25 UTC; windows"		"CRAN"			
"ggpubr"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary"	"1.0.0"		"R (>= 4.1.0), ggplot2 (>= 3.5.2)"	"ggrepel (>= 0.9.2), grid, ggsci, stats, utils, tidyr (>=
1.3.2), purrr, dplyr (>= 1.2.0), cowplot (>= 1.2.0), ggsignif,
scales, gridExtra, glue, polynom, rlang (>= 1.1.7), rstatix (>=
1.0.0), tibble, magrittr"		"grDevices, knitr, RColorBrewer, gtable, testthat"		"GPL (>= 2)"					"no"	"R 4.6.1; ; 2026-09-09 04:56:39 UTC; windows"		"CRAN"			
"ggrepel"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.9.8"		"R (>= 4.1.0), ggplot2 (>= 3.5.2)"	"grid, Rcpp, rlang (>= 1.1.6), S7, scales (>= 1.4.0), withr (>=
3.0.2)"	"Rcpp"	"knitr, rmarkdown, testthat, svglite, vdiffr, gridExtra, ggpp,
patchwork, devtools, prettydoc, ggbeeswarm, dplyr, magrittr,
readr, stringr, marquee, rsvg, sf"		"GPL-3 | file LICENSE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 03:03:57 UTC; windows"		"CRAN"			
"ggridges"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.5.7"		"R (>= 3.2)"	"ggplot2 (>= 3.5.0), grid (>= 3.0.0), scales (>= 0.4.1), withr
(>= 2.1.1)"		"covr, dplyr, patchwork, ggplot2movies, forcats, knitr,
rmarkdown, testthat, vdiffr"		"GPL-2 | file LICENSE"					"no"	"R 4.6.1; ; 2026-09-09 03:04:05 UTC; windows"		"CRAN"			
"ggsci"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary"	"5.2.0"		"R (>= 3.5.0)"	"ggplot2 (>= 2.0.0), grDevices, rlang, scales"		"gridExtra, knitr, ragg, rmarkdown"		"GPL (>= 3)"					"no"	"R 4.6.1; ; 2026-09-09 03:03:58 UTC; windows"		"CRAN"			
"ggsignif"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary"	"0.6.4"			"ggplot2 (>= 3.3.5)"		"knitr, rmarkdown, testthat, vdiffr (>= 1.0.2)"		"GPL-3 | file LICENSE"					"no"	"R 4.6.1; ; 2026-09-09 03:03:58 UTC; windows"		"CRAN"			
"globals"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.19.1"		"R (>= 3.1.2)"	"codetools"				"LGPL (>= 2.1)"					"no"	"R 4.6.1; ; 2026-08-19 12:58:27 UTC; windows"		"CRAN"			
"glue"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.8.1"		"R (>= 4.1)"	"methods"		"crayon, DBI (>= 1.2.0), dplyr, knitr, rlang, rmarkdown,
RSQLite, testthat (>= 3.2.0), vctrs (>= 0.3.0), waldo (>=
0.5.3), withr"		"MIT + file LICENSE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:02 UTC; windows"		"CRAN"			
"goftest"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.2-3"		"R (>= 3.3)"	"stats"				"GPL (>= 2)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-08-19 11:46:37 UTC; windows"		"CRAN"			
"gplots"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"3.3.0"		"R (>= 3.0)"	"gtools, stats, caTools, KernSmooth, methods"		"grid, MASS, knitr, rmarkdown, r2d2, nlme, dendextend,
heatmaply, RColorBrewer"		"GPL-2"					"no"	"R 4.6.1; ; 2026-09-09 01:56:08 UTC; windows"		"CRAN"			
"grDevices"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library"	"4.6.1"	"base"				"KernSmooth"		"Part of R 4.6.1"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:16:14 UTC; windows"					
"graphics"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library"	"4.6.1"	"base"		"grDevices"			"vcd"	"Part of R 4.6.1"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:16:56 UTC; windows"					
"grid"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library"	"4.6.1"	"base"		"grDevices, utils"				"Part of R 4.6.1"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:19:46 UTC; windows"					
"gridBase"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary"	"0.4-7"		"R (>= 2.3.0)"	"graphics, grid"		"lattice"		"GPL"					"no"	"R 4.6.1; ; 2026-09-09 00:58:25 UTC; windows"		"CRAN"			
"gridExtra"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"2.3.1"			"gtable, grid, grDevices, graphics, utils"		"ggplot2, egg, lattice, knitr, testthat"		"GPL (>= 2)"					"no"	"R 4.6.1; ; 2026-09-09 02:40:22 UTC; windows"		"CRAN"			
"gtable"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.3.6"		"R (>= 4.0)"	"cli, glue, grid, lifecycle, rlang (>= 1.1.0), stats"		"covr, ggplot2, knitr, profvis, rmarkdown, testthat (>= 3.0.0)"		"MIT + file LICENSE"					"no"	"R 4.6.1; ; 2026-09-09 02:20:45 UTC; windows"		"CRAN"			
"gtools"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"3.9.5"		"methods, stats, utils"			"car, gplots, knitr, rstudioapi, SGP, taxize"		"GPL-2"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:55:41 UTC; windows"		"CRAN"			
"here"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.0.2"			"rprojroot (>= 2.1.0)"		"conflicted, covr, fs, knitr, palmerpenguins, plyr, readr,
rlang, rmarkdown, testthat, uuid, withr"		"MIT + file LICENSE"					"no"	"R 4.6.1; ; 2026-09-09 01:55:56 UTC; windows"		"CRAN"			
"highr"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.12"		"R (>= 3.3.0)"	"xfun (>= 0.18)"		"knitr, markdown, testit"		"GPL"					"no"	"R 4.6.1; ; 2026-09-09 01:55:56 UTC; windows"		"CRAN"			
"htmltools"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.5.9"		"R (>= 2.14.1)"	"base64enc, digest, fastmap (>= 1.1.0), grDevices, rlang (>=
1.0.0), utils"		"Cairo, markdown, ragg, shiny, testthat, withr"	"knitr"	"GPL (>= 2)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:55:56 UTC; windows"		"CRAN"			
"htmlwidgets"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.6.4"			"grDevices, htmltools (>= 0.5.7), jsonlite (>= 0.9.16), knitr
(>= 1.8), rmarkdown, yaml"		"testthat"	"shiny (>= 1.1)"	"MIT + file LICENSE"					"no"	"R 4.6.1; ; 2026-09-09 03:20:06 UTC; windows"		"CRAN"			
"httpuv"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.6.17"		"R (>= 2.15.1)"	"later (>= 0.8.0), promises, R6, Rcpp (>= 1.0.7), utils"	"later, Rcpp"	"callr, curl, jsonlite, testthat (>= 3.0.0), websocket"		"GPL (>= 2) | file LICENSE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 02:40:24 UTC; windows"		"CRAN"			
"httr"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.4.9"		"R (>= 3.6)"	"curl (>= 5.1.0), jsonlite, mime, openssl (>= 0.8), R6"		"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2"		"MIT + file LICENSE"					"no"	"R 4.6.1; ; 2026-09-09 02:40:25 UTC; windows"		"CRAN"			
"ica"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.0-3"							"GPL (>= 2)"					"no"	"R 4.6.1; ; 2026-08-19 11:47:21 UTC; windows"		"CRAN"			
"igraph"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"2.3.3"		"methods, R (>= 3.5.0)"	"cli, graphics, grDevices, lifecycle, magrittr, Matrix,
pkgconfig (>= 2.0.0), rlang (>= 1.1.0), stats, utils, vctrs"	"cpp11 (>= 0.5.0)"	"ape (>= 5.7-0.1), callr, decor, digest, igraphdata, knitr,
rgl (>= 1.3.14), rmarkdown, scales, stats4, tcltk, testthat,
vdiffr, withr"	"graph"	"GPL (>= 2)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 02:21:13 UTC; windows"		"CRAN"			
"inline"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.3.21"			"methods"		"Rcpp, tinytest"		"LGPL"					"no"	"R 4.6.1; ; 2026-09-09 00:57:26 UTC; windows"		"CRAN"			
"irlba"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"2.3.7"		"R (>= 3.6.2), Matrix"	"stats, methods"	"Matrix"			"GPL-3"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:56:35 UTC; windows"		"CRAN"			
"isoband"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.3.0"			"cli, grid, rlang, utils"	"cpp11"	"covr, ggplot2, knitr, magick, bench, rmarkdown, sf, testthat
(>= 3.0.0), xml2"		"MIT + file LICENSE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:55:54 UTC; windows"		"CRAN"			
"iterators"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.0.14"		"R (>= 2.5.0), utils"			"RUnit, foreach"		"Apache License (== 2.0)"					"no"	"R 4.6.1; ; 2026-09-09 00:54:05 UTC; windows"		"CRAN"			
"jquerylib"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.1.4"			"htmltools"		"testthat"		"MIT + file LICENSE"					"no"	"R 4.6.1; ; 2026-09-09 02:20:47 UTC; windows"		"CRAN"			
"jsonlite"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"2.0.0"		"methods"			"httr, vctrs, testthat, knitr, rmarkdown, R.rsp, sf"		"MIT + file LICENSE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:04 UTC; windows"		"CRAN"			
"knitr"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.52"		"R (>= 3.6.0)"	"evaluate (>= 0.15), highr (>= 0.11), methods, tools, xfun (>=
0.52), yaml (>= 2.1.19)"		"bslib, DBI (>= 0.4-1), digest, formatR, gifski, gridSVG,
htmlwidgets (>= 0.7), jpeg, JuliaCall (>= 0.11.1), magick,
litedown (>= 0.10), otel, otelsdk, png, ragg (>= 1.5.0),
reticulate (>= 1.4), rgl (>= 0.95.1201), rlang, rmarkdown,
sass, showtext, styler (>= 1.2.0), targets (>= 0.6.0), testit,
tibble, tikzDevice (>= 0.10), tinytex (>= 0.56), webshot,
rstudioapi, svglite"		"GPL"					"no"	"R 4.6.1; ; 2026-09-09 02:20:57 UTC; windows"		"CRAN"			
"labeling"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.4.3"			"stats, graphics"				"MIT + file LICENSE | Unlimited"					"no"	"R 4.6.1; ; 2026-08-19 11:46:07 UTC; windows"		"CRAN"			
"lambda.r"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.2.4"		"R (>= 3.0.0)"	"formatR"		"testit"		"LGPL-3"					"no"	"R 4.6.1; ; 2026-09-09 01:57:56 UTC; windows"		"CRAN"			
"later"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.4.8"		"R (>= 3.5)"	"Rcpp (>= 1.0.10), rlang"	"Rcpp"	"knitr, nanonext, promises, rmarkdown, testthat (>= 3.0.0)"		"MIT + file LICENSE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:55:53 UTC; windows"		"CRAN"			
"lattice"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library"	"0.22-9"	"recommended"	"R (>= 4.0.0)"	"grid, grDevices, graphics, stats, utils"		"KernSmooth, MASS, latticeExtra, colorspace"	"chron, zoo"	"GPL (>= 2)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:23:40 UTC; windows"		"CRAN"			
"lazyeval"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.2.3"		"R (>= 3.1.0)"	"rlang"		"knitr, rmarkdown (>= 0.2.65), testthat, covr"		"GPL-3"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:55:57 UTC; windows"		"CRAN"			
"lifecycle"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.0.5"		"R (>= 3.6)"	"cli (>= 3.4.0), rlang (>= 1.1.0)"		"covr, knitr, lintr (>= 3.1.0), rmarkdown, testthat (>=
3.0.1), tibble, tidyverse, tools, vctrs, withr, xml2"		"MIT + file LICENSE"					"no"	"R 4.6.1; ; 2026-09-09 01:55:53 UTC; windows"		"CRAN"			
"limma"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"3.68.5"		"R (>= 3.6.0)"	"grDevices, graphics, stats, utils, methods, statmod"		"BiasedUrn, ellipse, gplots, knitr, locfit, MASS, splines,
affy, AnnotationDbi, Biobase, BiocStyle, GO.db, illuminaio,
org.Hs.eg.db, vsn"		"GPL (>=2)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 09:27:06 UTC; windows"		"Bioconductor 3.23"	"https://github.com/bioc/limma"	"825d1c8330d024adb6c54af66d79b0f4ec258530"	"ExonArray, GeneExpression, Transcription,
AlternativeSplicing, DifferentialExpression,
DifferentialSplicing, GeneSetEnrichment, DataImport, Bayesian,
Clustering, Regression, TimeCourse, Microarray, MicroRNAArray,
mRNAMicroarray, OneChannel, ProprietaryPlatforms, TwoChannel,
Sequencing, RNASeq, BatchEffect, MultipleComparison,
Normalization, Preprocessing, QualityControl,
BiomedicalInformatics, CellBiology, Cheminformatics,
Epigenetics, FunctionalGenomics, Genetics, ImmunoOncology,
Metabolomics, Proteomics, SystemsBiology, Transcriptomics"
"listenv"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.0.0"		"R (>= 3.1.2)"			"R.utils, R.rsp, markdown"		"Apache License (>= 2)"					"no"	"R 4.6.1; ; 2026-09-09 00:54:41 UTC; windows"		"CRAN"			
"lme4"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary"	"2.0-6"		"R (>= 3.6), Matrix, methods, stats"	"MASS, Rdpack, boot, graphics, grid, lattice, minqa (>=
1.1.15), nlme (>= 3.1-123), nloptr (>= 1.0.4), parallel,
reformulas (>= 0.4.3.1), splines, utils"	"Matrix (>= 1.5-0), Rcpp (>= 1.1.1-1.1), RcppEigen (>=
0.3.3.9.4)"	"DHARMa, HSAUR3, MEMSS, car, dfoptim, future.apply, gamm4,
ggplot2, glmmTMB, gridExtra, knitr, merDeriv, mgcv, mlmRev,
numDeriv, optimx (>= 2013.8.6), pbkrtest, performance,
rmarkdown, rr2, see, semEff, statmod, testthat (>= 0.8.1),
tibble"		"GPL (>= 2)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 02:40:21 UTC; windows"		"CRAN"			
"lmtest"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.9-40"		"R (>= 3.0.0), stats, zoo"	"graphics"		"car, strucchange, sandwich, dynlm, stats4, survival, AER"		"GPL-2 | GPL-3"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 02:20:47 UTC; windows"		"CRAN"			
"locfit"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.5-9.12"		"R (>= 4.1.0)"	"lattice"		"interp, gam"		"GPL (>= 2)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:55:56 UTC; windows"		"CRAN"			
"loo"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"2.10.1"		"R (>= 3.5)"	"checkmate, matrixStats (>= 0.52), parallel, posterior (>=
1.7.0), stats"		"bayesplot (>= 1.7.0), brms (>= 2.10.0), ggplot2, graphics,
knitr, rmarkdown, rstan, rstanarm (>= 2.19.0), rstantools,
spdep, testthat (>= 3.0)"		"GPL (>= 3)"					"no"	"R 4.6.1; ; 2026-09-09 03:21:39 UTC; windows"		"CRAN"			
"magrittr"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"2.0.5"		"R (>= 3.4.0)"			"covr, knitr, rlang, rmarkdown, testthat"		"MIT + file LICENSE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:02 UTC; windows"		"CRAN"			
"matrixStats"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.5.0"		"R (>= 3.4.0)"			"utils, base64enc, ggplot2, knitr, markdown, microbenchmark,
R.devices, R.rsp"		"Artistic-2.0"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:55:36 UTC; windows"		"CRAN"			
"memoise"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"2.0.1"			"rlang (>= 0.4.10), cachem"		"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat"		"MIT + file LICENSE"					"no"	"R 4.6.1; ; 2026-09-09 02:20:48 UTC; windows"		"CRAN"			
"metapod"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.20.0"			"Rcpp"	"Rcpp"	"testthat, knitr, BiocStyle, rmarkdown"		"GPL-3"					"yes"	"R 4.6.0; x86_64-w64-mingw32; 2026-04-29 13:50:48 UTC; windows"		"https://bioc-release.r-universe.dev"	"https://github.com/bioc/metapod"	"fccdc7f39efed41fe3f95a48e2141adb914e74d2"	"MultipleComparison, DifferentialPeakCalling"
