config	allocation_id	discovery_allocation	validation_allocation	is_observed	discovery_mcao_animals	validation_mcao_animals
reference_singlet	94	9	4	False	GSM5319987|GSM5319991|GSM5319992	GSM7841721|GSM7841722
reference_singlet	95	9	5	False	GSM5319987|GSM5319991|GSM5319992	GSM7841721|GSM7841723
reference_singlet	96	9	6	False	GSM5319987|GSM5319991|GSM5319992	GSM7841721|GSM7841724
reference_singlet	97	9	7	False	GSM5319987|GSM5319991|GSM5319992	GSM7841722|GSM7841723
reference_singlet	98	9	8	False	GSM5319987|GSM5319991|GSM5319992	GSM7841722|GSM7841724
reference_singlet	99	9	9	False	GSM5319987|GSM5319991|GSM5319992	GSM7841723|GSM7841724
reference_singlet	100	10	0	False	GSM5319988|GSM5319989|GSM5319990	GSM7841720|GSM7841721
reference_singlet	101	10	1	False	GSM5319988|GSM5319989|GSM5319990	GSM7841720|GSM7841722
reference_singlet	102	10	2	False	GSM5319988|GSM5319989|GSM5319990	GSM7841720|GSM7841723
reference_singlet	103	10	3	False	GSM5319988|GSM5319989|GSM5319990	GSM7841720|GSM7841724
reference_singlet	104	10	4	False	GSM5319988|GSM5319989|GSM5319990	GSM7841721|GSM7841722
reference_singlet	105	10	5	False	GSM5319988|GSM5319989|GSM5319990	GSM7841721|GSM7841723
reference_singlet	106	10	6	False	GSM5319988|GSM5319989|GSM5319990	GSM7841721|GSM7841724
reference_singlet	107	10	7	False	GSM5319988|GSM5319989|GSM5319990	GSM7841722|GSM7841723
reference_singlet	108	10	8	False	GSM5319988|GSM5319989|GSM5319990	GSM7841722|GSM7841724
reference_singlet	109	10	9	False	GSM5319988|GSM5319989|GSM5319990	GSM7841723|GSM7841724
reference_singlet	110	11	0	False	GSM5319988|GSM5319989|GSM5319991	GSM7841720|GSM7841721
reference_singlet	111	11	1	False	GSM5319988|GSM5319989|GSM5319991	GSM7841720|GSM7841722
reference_singlet	112	11	2	False	GSM5319988|GSM5319989|GSM5319991	GSM7841720|GSM7841723
reference_singlet	113	11	3	False	GSM5319988|GSM5319989|GSM5319991	GSM7841720|GSM7841724
reference_singlet	114	11	4	False	GSM5319988|GSM5319989|GSM5319991	GSM7841721|GSM7841722
reference_singlet	115	11	5	False	GSM5319988|GSM5319989|GSM5319991	GSM7841721|GSM7841723
reference_singlet	116	11	6	False	GSM5319988|GSM5319989|GSM5319991	GSM7841721|GSM7841724
reference_singlet	117	11	7	False	GSM5319988|GSM5319989|GSM5319991	GSM7841722|GSM7841723
reference_singlet	118	11	8	False	GSM5319988|GSM5319989|GSM5319991	GSM7841722|GSM7841724
reference_singlet	119	11	9	False	GSM5319988|GSM5319989|GSM5319991	GSM7841723|GSM7841724
reference_singlet	120	12	0	False	GSM5319988|GSM5319989|GSM5319992	GSM7841720|GSM7841721
reference_singlet	121	12	1	False	GSM5319988|GSM5319989|GSM5319992	GSM7841720|GSM7841722
reference_singlet	122	12	2	False	GSM5319988|GSM5319989|GSM5319992	GSM7841720|GSM7841723
reference_singlet	123	12	3	False	GSM5319988|GSM5319989|GSM5319992	GSM7841720|GSM7841724
reference_singlet	124	12	4	False	GSM5319988|GSM5319989|GSM5319992	GSM7841721|GSM7841722
reference_singlet	125	12	5	False	GSM5319988|GSM5319989|GSM5319992	GSM7841721|GSM7841723
reference_singlet	126	12	6	False	GSM5319988|GSM5319989|GSM5319992	GSM7841721|GSM7841724
reference_singlet	127	12	7	False	GSM5319988|GSM5319989|GSM5319992	GSM7841722|GSM7841723
reference_singlet	128	12	8	False	GSM5319988|GSM5319989|GSM5319992	GSM7841722|GSM7841724
reference_singlet	129	12	9	False	GSM5319988|GSM5319989|GSM5319992	GSM7841723|GSM7841724
reference_singlet	130	13	0	False	GSM5319988|GSM5319990|GSM5319991	GSM7841720|GSM7841721
reference_singlet	131	13	1	False	GSM5319988|GSM5319990|GSM5319991	GSM7841720|GSM7841722
reference_singlet	132	13	2	False	GSM5319988|GSM5319990|GSM5319991	GSM7841720|GSM7841723
reference_singlet	133	13	3	False	GSM5319988|GSM5319990|GSM5319991	GSM7841720|GSM7841724
reference_singlet	134	13	4	False	GSM5319988|GSM5319990|GSM5319991	GSM7841721|GSM7841722
reference_singlet	135	13	5	False	GSM5319988|GSM5319990|GSM5319991	GSM7841721|GSM7841723
reference_singlet	136	13	6	False	GSM5319988|GSM5319990|GSM5319991	GSM7841721|GSM7841724
reference_singlet	137	13	7	False	GSM5319988|GSM5319990|GSM5319991	GSM7841722|GSM7841723
reference_singlet	138	13	8	False	GSM5319988|GSM5319990|GSM5319991	GSM7841722|GSM7841724
reference_singlet	139	13	9	False	GSM5319988|GSM5319990|GSM5319991	GSM7841723|GSM7841724
reference_singlet	140	14	0	False	GSM5319988|GSM5319990|GSM5319992	GSM7841720|GSM7841721
reference_singlet	141	14	1	False	GSM5319988|GSM5319990|GSM5319992	GSM7841720|GSM7841722
reference_singlet	142	14	2	False	GSM5319988|GSM5319990|GSM5319992	GSM7841720|GSM7841723
reference_singlet	143	14	3	False	GSM5319988|GSM5319990|GSM5319992	GSM7841720|GSM7841724
reference_singlet	144	14	4	False	GSM5319988|GSM5319990|GSM5319992	GSM7841721|GSM7841722
reference_singlet	145	14	5	False	GSM5319988|GSM5319990|GSM5319992	GSM7841721|GSM7841723
reference_singlet	146	14	6	False	GSM5319988|GSM5319990|GSM5319992	GSM7841721|GSM7841724
reference_singlet	147	14	7	False	GSM5319988|GSM5319990|GSM5319992	GSM7841722|GSM7841723
reference_singlet	148	14	8	False	GSM5319988|GSM5319990|GSM5319992	GSM7841722|GSM7841724
reference_singlet	149	14	9	False	GSM5319988|GSM5319990|GSM5319992	GSM7841723|GSM7841724
reference_singlet	150	15	0	False	GSM5319988|GSM5319991|GSM5319992	GSM7841720|GSM7841721
reference_singlet	151	15	1	False	GSM5319988|GSM5319991|GSM5319992	GSM7841720|GSM7841722
reference_singlet	152	15	2	False	GSM5319988|GSM5319991|GSM5319992	GSM7841720|GSM7841723
reference_singlet	153	15	3	False	GSM5319988|GSM5319991|GSM5319992	GSM7841720|GSM7841724
reference_singlet	154	15	4	False	GSM5319988|GSM5319991|GSM5319992	GSM7841721|GSM7841722
reference_singlet	155	15	5	False	GSM5319988|GSM5319991|GSM5319992	GSM7841721|GSM7841723
reference_singlet	156	15	6	False	GSM5319988|GSM5319991|GSM5319992	GSM7841721|GSM7841724
reference_singlet	157	15	7	False	GSM5319988|GSM5319991|GSM5319992	GSM7841722|GSM7841723
reference_singlet	158	15	8	False	GSM5319988|GSM5319991|GSM5319992	GSM7841722|GSM7841724
reference_singlet	159	15	9	False	GSM5319988|GSM5319991|GSM5319992	GSM7841723|GSM7841724
reference_singlet	160	16	0	False	GSM5319989|GSM5319990|GSM5319991	GSM7841720|GSM7841721
reference_singlet	161	16	1	False	GSM5319989|GSM5319990|GSM5319991	GSM7841720|GSM7841722
reference_singlet	162	16	2	False	GSM5319989|GSM5319990|GSM5319991	GSM7841720|GSM7841723
reference_singlet	163	16	3	False	GSM5319989|GSM5319990|GSM5319991	GSM7841720|GSM7841724
reference_singlet	164	16	4	False	GSM5319989|GSM5319990|GSM5319991	GSM7841721|GSM7841722
reference_singlet	165	16	5	False	GSM5319989|GSM5319990|GSM5319991	GSM7841721|GSM7841723
reference_singlet	166	16	6	False	GSM5319989|GSM5319990|GSM5319991	GSM7841721|GSM7841724
reference_singlet	167	16	7	False	GSM5319989|GSM5319990|GSM5319991	GSM7841722|GSM7841723
reference_singlet	168	16	8	False	GSM5319989|GSM5319990|GSM5319991	GSM7841722|GSM7841724
reference_singlet	169	16	9	False	GSM5319989|GSM5319990|GSM5319991	GSM7841723|GSM7841724
reference_singlet	170	17	0	False	GSM5319989|GSM5319990|GSM5319992	GSM7841720|GSM7841721
reference_singlet	171	17	1	False	GSM5319989|GSM5319990|GSM5319992	GSM7841720|GSM7841722
reference_singlet	172	17	2	False	GSM5319989|GSM5319990|GSM5319992	GSM7841720|GSM7841723
reference_singlet	173	17	3	False	GSM5319989|GSM5319990|GSM5319992	GSM7841720|GSM7841724
reference_singlet	174	17	4	False	GSM5319989|GSM5319990|GSM5319992	GSM7841721|GSM7841722
reference_singlet	175	17	5	False	GSM5319989|GSM5319990|GSM5319992	GSM7841721|GSM7841723
reference_singlet	176	17	6	False	GSM5319989|GSM5319990|GSM5319992	GSM7841721|GSM7841724
reference_singlet	177	17	7	False	GSM5319989|GSM5319990|GSM5319992	GSM7841722|GSM7841723
reference_singlet	178	17	8	False	GSM5319989|GSM5319990|GSM5319992	GSM7841722|GSM7841724
reference_singlet	179	17	9	False	GSM5319989|GSM5319990|GSM5319992	GSM7841723|GSM7841724
reference_singlet	180	18	0	False	GSM5319989|GSM5319991|GSM5319992	GSM7841720|GSM7841721
reference_singlet	181	18	1	False	GSM5319989|GSM5319991|GSM5319992	GSM7841720|GSM7841722
reference_singlet	182	18	2	False	GSM5319989|GSM5319991|GSM5319992	GSM7841720|GSM7841723
reference_singlet	183	18	3	False	GSM5319989|GSM5319991|GSM5319992	GSM7841720|GSM7841724
reference_singlet	184	18	4	False	GSM5319989|GSM5319991|GSM5319992	GSM7841721|GSM7841722
reference_singlet	185	18	5	False	GSM5319989|GSM5319991|GSM5319992	GSM7841721|GSM7841723
reference_singlet	186	18	6	False	GSM5319989|GSM5319991|GSM5319992	GSM7841721|GSM7841724
reference_singlet	187	18	7	False	GSM5319989|GSM5319991|GSM5319992	GSM7841722|GSM7841723
reference_singlet	188	18	8	False	GSM5319989|GSM5319991|GSM5319992	GSM7841722|GSM7841724
reference_singlet	189	18	9	False	GSM5319989|GSM5319991|GSM5319992	GSM7841723|GSM7841724
reference_singlet	190	19	0	False	GSM5319990|GSM5319991|GSM5319992	GSM7841720|GSM7841721
reference_singlet	191	19	1	False	GSM5319990|GSM5319991|GSM5319992	GSM7841720|GSM7841722
reference_singlet	192	19	2	False	GSM5319990|GSM5319991|GSM5319992	GSM7841720|GSM7841723
reference_singlet	193	19	3	False	GSM5319990|GSM5319991|GSM5319992	GSM7841720|GSM7841724
reference_singlet	194	19	4	False	GSM5319990|GSM5319991|GSM5319992	GSM7841721|GSM7841722
reference_singlet	195	19	5	False	GSM5319990|GSM5319991|GSM5319992	GSM7841721|GSM7841723
reference_singlet	196	19	6	False	GSM5319990|GSM5319991|GSM5319992	GSM7841721|GSM7841724
reference_singlet	197	19	7	False	GSM5319990|GSM5319991|GSM5319992	GSM7841722|GSM7841723
reference_singlet	198	19	8	False	GSM5319990|GSM5319991|GSM5319992	GSM7841722|GSM7841724
reference_singlet	199	19	9	True	GSM5319990|GSM5319991|GSM5319992	GSM7841723|GSM7841724
